extension,description,category
aif,AIF audio file,Audio file formats by file extensions
cda,CD audio track file,Audio file formats by file extensions
mid,MIDI audio file,Audio file formats by file extensions
midi,MIDI audio file,Audio file formats by file extensions
mp3,MP3 audio file,Audio file formats by file extensions
mpa,MPEG-2 audio file,Audio file formats by file extensions
ogg,Ogg Vorbis audio file,Audio file formats by file extensions
wav,WAV file,Audio file formats by file extensions
wma,WMA audio file,Audio file formats by file extensions
wpl,Windows Media Player playlist,Audio file formats by file extensions
7z,7-Zip compressed file,Compressed file extensions
arj,ARJ compressed file,Compressed file extensions
deb,Debian software package file,Compressed file extensions
pkg,Package file,Compressed file extensions
rar,RAR file,Compressed file extensions
rpm,Red Hat Package Manager,Compressed file extensions
tar.gz,Tarball compressed file,Compressed file extensions
z,Z compressed file,Compressed file extensions
zip,Zip compressed file,Compressed file extensions
bin,Binary disc image,Disc and media file extensions
dmg,macOS X disk image,Disc and media file extensions
iso,ISO disc image,Disc and media file extensions
toast,Toast disc image,Disc and media file extensions
vcd,Virtual CD,Disc and media file extensions
csv,Comma separated value file,Data and database file extensions
dat,Data file,Data and database file extensions
db,Database file,Data and database file extensions
dbf,Database file,Data and database file extensions
log,Log file,Data and database file extensions
mdb,Microsoft Access database file,Data and database file extensions
sav,"Save file (e.g., game save file)",Data and database file extensions
sql,SQL database file,Data and database file extensions
tar,Linux / Unix tarball file archive,Data and database file extensions
xml,XML file,Data and database file extensions
email,Outlook Express e-mail message file,E-mail file extensions
eml,"E-mail message file from multiple e-mail clients, including Gmail",E-mail file extensions
emlx,Apple Mail e-mail file,E-mail file extensions
msg,Microsoft Outlook e-mail message file,E-mail file extensions
oft,Microsoft Outlook e-mail template file,E-mail file extensions
ost,Microsoft Outlook offline e-mail storage file,E-mail file extensions
pst,Microsoft Outlook e-mail storage file,E-mail file extensions
vcf,E-mail contact file,E-mail file extensions
apk,Android package file,Executable file extensions
bat,Batch file,Executable file extensions
bin,Binary file,Executable file extensions
cgi,Perl script file,Executable file extensions
pl,Perl script file,Executable file extensions
com,MS-DOS command file,Executable file extensions
exe,Executable file,Executable file extensions
gadget,Windows gadget,Executable file extensions
jar,Java Archive file,Executable file extensions
msi,Windows installer package,Executable file extensions
py,Python file,Executable file extensions
wsf,Windows Script File,Executable file extensions
fnt,Windows font file,Font file extensions
fon,Generic font file,Font file extensions
otf,Open type font file,Font file extensions
ttf,TrueType font file,Font file extensions
ai,Adobe Illustrator file,Image file formats by file extension
bmp,Bitmap image,Image file formats by file extension
gif,GIF image,Image file formats by file extension
ico,Icon file,Image file formats by file extension
jpeg,JPEG image,Image file formats by file extension
jpg,JPEG image,Image file formats by file extension
png,PNG image,Image file formats by file extension
ps,PostScript file,Image file formats by file extension
psd,PSD image,Image file formats by file extension
svg,Scalable Vector Graphics file,Image file formats by file extension
tif,TIFF image,Image file formats by file extension
tiff,TIFF image,Image file formats by file extension
asp,Active Server Page file,Internet-related file extensions
aspx,Active Server Page file,Internet-related file extensions
cer,Internet security certificate,Internet-related file extensions
cfm,ColdFusion Markup file,Internet-related file extensions
cgi,Perl script file,Internet-related file extensions
pl,Perl script file,Internet-related file extensions
css,Cascading Style Sheet file,Internet-related file extensions
htm,HTML file,Internet-related file extensions
